date,last_attempt_utc,error
2026-05-31,2026-09-09T12:49:44+00:00,"HTTPSConnectionPool(host='publications.europa.eu', port=443): Read timed out. (read timeout=600)"
2026-06-07,2026-09-09T12:59:45+00:00,"HTTPSConnectionPool(host='publications.europa.eu', port=443): Read timed out. (read timeout=600)"
2026-06-28,2026-09-09T13:09:45+00:00,"HTTPSConnectionPool(host='publications.europa.eu', port=443): Read timed out. (read timeout=600)"
2026-07-05,2026-09-09T13:19:45+00:00,"HTTPSConnectionPool(host='publications.europa.eu', port=443): Read timed out. (read timeout=600)"
2026-08-09,2026-09-09T13:29:45+00:00,"HTTPSConnectionPool(host='publications.europa.eu', port=443): Read timed out. (read timeout=600)"
2026-08-19,2026-09-09T13:39:46+00:00,"HTTPSConnectionPool(host='publications.europa.eu', port=443): Read timed out. (read timeout=600)"
2026-08-23,2026-09-09T13:49:46+00:00,"HTTPSConnectionPool(host='publications.europa.eu', port=443): Read timed out. (read timeout=600)"
2026-08-25,2026-09-09T13:59:46+00:00,"HTTPSConnectionPool(host='publications.europa.eu', port=443): Read timed out. (read timeout=600)"
2026-09-04,2026-09-09T14:09:47+00:00,"HTTPSConnectionPool(host='publications.europa.eu', port=443): Read timed out. (read timeout=600)"
2026-09-06,2026-09-09T14:19:47+00:00,"HTTPSConnectionPool(host='publications.europa.eu', port=443): Read timed out. (read timeout=600)"
